Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
getEmployable- Autosifting,Chrome 74.0.3729.169,,2019-06-12 14:13:29,2019-06-12 14:16:42,3m - 12.662s,PASSED
,,,,,,
Test Cases/getEmployable/getEmployable Random/launchSite,Chrome 74.0.3729.169,,2019-06-12 14:13:29,2019-06-12 14:13:44,14.657s,PASSED
"comment(""Opening getEmployable application"")",Chrome 74.0.3729.169,,2019-06-12 14:13:30,2019-06-12 14:13:30,0.144s,PASSED
"openBrowser("""")",Chrome 74.0.3729.169,Launch browser,2019-06-12 14:13:30,2019-06-12 14:13:34,3.637s,PASSED
"navigateToUrl(findTestData(""getEmployable/URL"").getValue(1, 1))",Chrome 74.0.3729.169,Invoke getEmployable site ,2019-06-12 14:13:34,2019-06-12 14:13:38,4.217s,PASSED
maximizeWindow(),Chrome 74.0.3729.169,Maximize the browser,2019-06-12 14:13:38,2019-06-12 14:13:39,1.153s,PASSED
"verifyElementPresent(findTestObject(""getEmployable/form""), 10, STOP_ON_FAILURE)",Chrome 74.0.3729.169,Verify the site lauched sucessfully,2019-06-12 14:13:39,2019-06-12 14:13:39,0.119s,PASSED
delay(5),Chrome 74.0.3729.169,,2019-06-12 14:13:39,2019-06-12 14:13:44,5.013s,PASSED
,,,,,,
Test Cases/getEmployable/getEmployable Auto sifting/Aboutyou,Chrome 74.0.3729.169,,2019-06-12 14:13:44,2019-06-12 14:14:02,18.190s,PASSED
"comment(""Enter aboutYou page details"")",Chrome 74.0.3729.169,,2019-06-12 14:13:44,2019-06-12 14:13:44,0.003s,PASSED
"setText(findTestObject(""getEmployable/input_First Name""), findTestData(""getEmployable/Applicants"").getValue(1, 1))",Chrome 74.0.3729.169,"Enter First Name
",2019-06-12 14:13:44,2019-06-12 14:13:45,0.205s,PASSED
"setText(findTestObject(""getEmployable/input_Last name""), findTestData(""getEmployable/Applicants"").getValue(2, 1))",Chrome 74.0.3729.169,Enter Last Name,2019-06-12 14:13:45,2019-06-12 14:13:45,0.228s,PASSED
rad = new java.util.Random(),Chrome 74.0.3729.169,,2019-06-12 14:13:45,2019-06-12 14:13:45,0.003s,PASSED
Email = rad.nextInt(2000),Chrome 74.0.3729.169,,2019-06-12 14:13:45,2019-06-12 14:13:45,0.003s,PASSED
"setText(findTestObject(""getEmployable/input_University Email""), ""test"" + Email + ""@ac.uk"")",Chrome 74.0.3729.169,Enter University Email,2019-06-12 14:13:45,2019-06-12 14:13:45,0.246s,PASSED
"setText(findTestObject(""getEmployable/input_Personal Email""), ""personal"" + Email + ""@test.com"")",Chrome 74.0.3729.169,Enter Personal Email ,2019-06-12 14:13:45,2019-06-12 14:13:46,0.375s,PASSED
"setText(findTestObject(""getEmployable/input_Phone Number""), findTestData(""getEmployable/Applicants"").getValue(5, 1))",Chrome 74.0.3729.169,"Enter Mobile Number
",2019-06-12 14:13:46,2019-06-12 14:13:46,0.232s,PASSED
delay(10),Chrome 74.0.3729.169,,2019-06-12 14:13:46,2019-06-12 14:13:56,10.014s,PASSED
"click(findTestObject(""getEmployable/input_date Of Birth""), STOP_ON_FAILURE)",Chrome 74.0.3729.169,Select DOB,2019-06-12 14:13:56,2019-06-12 14:13:56,0.110s,PASSED
"click(findTestObject(""getEmployable Manual/date picker""))",Chrome 74.0.3729.169,,2019-06-12 14:13:56,2019-06-12 14:13:57,0.847s,PASSED
